index,original index,ML Catalog Number,Scientific Name,Date,Month,Locality,Latitude,Longitude,Average Community Rating,storage,altitude,LV03_E,LV03_N,crop_storage,geometry,VL
198,26,195861381,Podiceps cristatus,2016-04-09,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195861381.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195861381.jpg,POINT (709562 113248),2515.55
199,27,195847481,Podiceps cristatus,2016-04-21,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195847481.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195847481.jpg,POINT (709562 113248),1912.72
200,28,195847151,Podiceps cristatus,2016-04-21,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195847151.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195847151.jpg,POINT (709562 113248),395.08
201,29,195825601,Podiceps cristatus,2016-04-30,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195825601.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195825601.jpg,POINT (709562 113248),683.62
202,30,192425431,Podiceps cristatus,2019-12-08,12,Parc Mon Repos et de la Perle du Lac,46.2199,6.1521,4.0,data/images/podiceps_cristatus/original/192425431.jpg,377,500731,119533,data/images/podiceps_cristatus/cropped/192425431.jpg,POINT (500731 119533),1079.42
203,31,191840981,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840981.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840981.jpg,POINT (666530 211301),1293.71
204,32,191840961,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840961.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840961.jpg,POINT (666530 211301),1489.43
205,33,191840951,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840951.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840951.jpg,POINT (666530 211301),1268.87
206,34,191840931,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840931.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840931.jpg,POINT (666530 211301),209.5
207,35,191656341,Podiceps cristatus,2015-01-02,1,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191656341.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191656341.jpg,POINT (709562 113248),821.29
208,36,191511321,Podiceps cristatus,2016-04-02,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191511321.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191511321.jpg,POINT (709562 113248),523.43
209,37,191436541,Podiceps cristatus,2016-04-03,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191436541.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191436541.jpg,POINT (709562 113248),666.25
210,38,191436031,Podiceps cristatus,2018-04-30,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191436031.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191436031.jpg,POINT (709562 113248),263.08
211,39,191427401,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427401.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427401.jpg,POINT (710240 112104),3572.69
212,40,191427311,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427311.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427311.jpg,POINT (710240 112104),811.09
213,41,191427241,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427241.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427241.jpg,POINT (710240 112104),685.86
214,42,191427091,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427091.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427091.jpg,POINT (710240 112104),843.45
215,43,191427041,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427041.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427041.jpg,POINT (710240 112104),840.43
216,44,191418841,Podiceps cristatus,2018-06-02,6,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191418841.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191418841.jpg,POINT (709562 113248),550.09
217,48,190619191,Podiceps cristatus,2019-11-30,11,Port des Eaux-Vives et Baby-plage,46.2092,6.1624,3.0,data/images/podiceps_cristatus/original/190619191.jpg,372,501507,118330,data/images/podiceps_cristatus/cropped/190619191.jpg,POINT (501507 118330),1279.83
218,49,190619181,Podiceps cristatus,2019-11-30,11,Port des Eaux-Vives et Baby-plage,46.2092,6.1624,4.0,data/images/podiceps_cristatus/original/190619181.jpg,372,501507,118330,data/images/podiceps_cristatus/cropped/190619181.jpg,POINT (501507 118330),697.53
219,50,187815151,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815151.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815151.jpg,POINT (688673 209399),3157.66
220,51,187815141,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815141.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815141.jpg,POINT (688673 209399),3130.05
221,52,187815131,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815131.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815131.jpg,POINT (688673 209399),3131.62
222,53,187815121,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815121.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815121.jpg,POINT (688673 209399),3380.23
223,54,187815111,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815111.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815111.jpg,POINT (688673 209399),3030.14
224,55,187292311,Podiceps cristatus,2019-11-09,11,Seefeldquai,47.3626,8.5468,3.0,data/images/podiceps_cristatus/original/187292311.jpg,407,683712,246341,data/images/podiceps_cristatus/cropped/187292311.jpg,POINT (683712 246341),974.94
225,56,187292301,Podiceps cristatus,2019-11-09,11,Seefeldquai,47.3626,8.5468,3.0,data/images/podiceps_cristatus/original/187292301.jpg,407,683712,246341,data/images/podiceps_cristatus/cropped/187292301.jpg,POINT (683712 246341),1065.8
226,58,187125441,Podiceps cristatus,2019-05-04,5,Fanel--Inseln und Lagunen,46.9812,7.041,0.0,data/images/podiceps_cristatus/original/187125441.jpg,430,569747,203425,data/images/podiceps_cristatus/cropped/187125441.jpg,POINT (569747 203425),1536.78
227,59,186457001,Podiceps cristatus,2015-03-19,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/186457001.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/186457001.jpg,POINT (709562 113248),1258.29
228,60,182886241,Podiceps cristatus,2010-09-04,9,La Brevine,46.9659,6.5766,3.0,data/images/podiceps_cristatus/original/182886241.jpg,1060,534396,202009,data/images/podiceps_cristatus/cropped/182886241.jpg,POINT (534396 202009),493.8
229,61,181493621,Podiceps cristatus,2019-09-19,9,Arboretum Zürich,47.3628,8.5363,3.0,data/images/podiceps_cristatus/original/181493621.jpg,406,682918,246352,data/images/podiceps_cristatus/cropped/181493621.jpg,POINT (682918 246352),1372.08
230,62,178861681,Podiceps cristatus,2019-09-15,9,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/178861681.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/178861681.jpg,POINT (666157 211374),958.13
231,63,177534031,Podiceps cristatus,2019-09-15,9,Île de Préverenges,46.5074,6.5355,0.0,data/images/podiceps_cristatus/original/177534031.jpg,372,530681,151077,data/images/podiceps_cristatus/cropped/177534031.jpg,POINT (530681 151077),1966.26
232,64,177534021,Podiceps cristatus,2019-09-15,9,Île de Préverenges,46.5074,6.5355,0.0,data/images/podiceps_cristatus/original/177534021.jpg,372,530681,151077,data/images/podiceps_cristatus/cropped/177534021.jpg,POINT (530681 151077),1718.0
233,65,177185141,Podiceps cristatus,2009-06-13,6,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177185141.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177185141.jpg,POINT (620719 265311),673.16
234,66,177185111,Podiceps cristatus,2009-06-13,6,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177185111.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177185111.jpg,POINT (620719 265311),1484.79
235,67,177182001,Podiceps cristatus,2009-06-04,6,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177182001.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177182001.jpg,POINT (620719 265311),3706.4
236,69,177181331,Podiceps cristatus,2009-05-21,5,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,0.0,data/images/podiceps_cristatus/original/177181331.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177181331.jpg,POINT (620719 265311),1990.0
237,71,177181111,Podiceps cristatus,2009-05-21,5,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177181111.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177181111.jpg,POINT (620719 265311),541.71
238,72,177181101,Podiceps cristatus,2009-05-21,5,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177181101.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177181101.jpg,POINT (620719 265311),527.23
239,74,177179361,Podiceps cristatus,2009-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177179361.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177179361.jpg,POINT (620719 265311),1493.37
240,75,177179271,Podiceps cristatus,2009-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,0.0,data/images/podiceps_cristatus/original/177179271.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177179271.jpg,POINT (620719 265311),1686.08
241,76,177177691,Podiceps cristatus,2009-03-29,3,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177177691.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177177691.jpg,POINT (620719 265311),388.04
242,77,177043451,Podiceps cristatus,2019-09-14,9,"CH-Geneva-Rue de Fribourg 16 (46.2113,6.1457)",46.2282,6.1001,0.0,data/images/podiceps_cristatus/original/177043451.jpg,423,496735,120522,data/images/podiceps_cristatus/cropped/177043451.jpg,POINT (496735 120522),366.6
243,78,177036161,Podiceps cristatus,2019-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177036161.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177036161.jpg,POINT (620719 265311),1031.13
244,79,177035811,Podiceps cristatus,2019-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177035811.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177035811.jpg,POINT (620719 265311),458.52
245,80,177035781,Podiceps cristatus,2019-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177035781.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177035781.jpg,POINT (620719 265311),4994.21
246,81,177035021,Podiceps cristatus,2019-04-16,4,Île de Préverenges,46.5074,6.5355,0.0,data/images/podiceps_cristatus/original/177035021.jpg,372,530681,151077,data/images/podiceps_cristatus/cropped/177035021.jpg,POINT (530681 151077),506.99
247,83,173720851,Podiceps cristatus,2019-08-19,8,Luzern--Inseli Park,47.0494,8.3142,3.0,data/images/podiceps_cristatus/original/173720851.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/173720851.jpg,POINT (666530 211301),1376.54
248,87,173455621,Podiceps cristatus,2019-08-13,8,Rorschach--Hafen,47.4795,9.4925,3.0,data/images/podiceps_cristatus/original/173455621.jpg,396,754797,260774,data/images/podiceps_cristatus/cropped/173455621.jpg,POINT (754797 260774),877.99
249,88,173059391,Podiceps cristatus,2018-02-24,2,"Münsterbrücke, Zürich, Zürich, CH (47.37, 8.542)",47.3698,8.5422,3.0,data/images/podiceps_cristatus/original/173059391.jpg,408,683353,247137,data/images/podiceps_cristatus/cropped/173059391.jpg,POINT (683353 247137),1213.65
250,93,172706521,Podiceps cristatus,2019-08-08,8,Promenade Robert Hainard,46.7922,6.6425,5.0,data/images/podiceps_cristatus/original/172706521.jpg,429,539215,182646,data/images/podiceps_cristatus/cropped/172706521.jpg,POINT (539215 182646),377.24
251,94,172590551,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590551.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590551.jpg,POINT (620719 265311),836.75
252,95,172590491,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590491.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590491.jpg,POINT (620719 265311),1233.48
253,96,172590331,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590331.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590331.jpg,POINT (620719 265311),757.81
254,97,172590261,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590261.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590261.jpg,POINT (620719 265311),1129.69
255,98,172590241,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590241.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590241.jpg,POINT (620719 265311),1246.82
256,99,172495131,Podiceps cristatus,2019-08-14,8,Klingnauer Stausee,47.5833,8.2333,3.0,data/images/podiceps_cristatus/original/172495131.jpg,318,659782,270592,data/images/podiceps_cristatus/cropped/172495131.jpg,POINT (659782 270592),1250.46
257,100,171823541,Podiceps cristatus,2019-08-08,8,Porto di Locarno e Parco giochi Al Burbaglio,46.1707,8.8038,0.0,data/images/podiceps_cristatus/original/171823541.jpg,193,705429,114164,data/images/podiceps_cristatus/cropped/171823541.jpg,POINT (705429 114164),704.51
258,101,171715801,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715801.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715801.jpg,POINT (559878 138283),346.41
259,103,171715611,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715611.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715611.jpg,POINT (559878 138283),655.81
260,104,171715391,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,5.0,data/images/podiceps_cristatus/original/171715391.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715391.jpg,POINT (559878 138283),140.89
261,105,171715161,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715161.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715161.jpg,POINT (559878 138283),914.62
262,106,171715001,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715001.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715001.jpg,POINT (559878 138283),398.99
263,107,171714991,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171714991.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171714991.jpg,POINT (559878 138283),1160.86
264,108,171714981,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171714981.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171714981.jpg,POINT (559878 138283),1159.03
265,109,170976061,Podiceps cristatus,2015-10-26,10,Klingnauer Stausee,47.5833,8.2333,0.0,data/images/podiceps_cristatus/original/170976061.jpg,318,659782,270592,data/images/podiceps_cristatus/cropped/170976061.jpg,POINT (659782 270592),260.53
266,110,170970371,Podiceps cristatus,2015-10-24,10,Vogelraupfi,47.2271,7.7188,0.0,data/images/podiceps_cristatus/original/170970371.jpg,419,621219,230724,data/images/podiceps_cristatus/cropped/170970371.jpg,POINT (621219 230724),908.34
267,111,170500711,Podiceps cristatus,2019-06-29,6,Ville de Genève (City of Geneva),46.2043,6.1429,0.0,data/images/podiceps_cristatus/original/170500711.jpg,372,499993,117810,data/images/podiceps_cristatus/cropped/170500711.jpg,POINT (499993 117810),747.2
268,112,170500701,Podiceps cristatus,2019-06-29,6,Ville de Genève (City of Geneva),46.2043,6.1429,0.0,data/images/podiceps_cristatus/original/170500701.jpg,372,499993,117810,data/images/podiceps_cristatus/cropped/170500701.jpg,POINT (499993 117810),970.56
269,113,170492461,Podiceps cristatus,2019-06-30,6,Port de St-Blaise,47.0104,6.9844,0.0,data/images/podiceps_cristatus/original/170492461.jpg,429,565460,206695,data/images/podiceps_cristatus/cropped/170492461.jpg,POINT (565460 206695),102.8
270,114,170210851,Podiceps cristatus,2019-07-15,7,Golfo di Ascona,46.1523,8.7664,0.0,data/images/podiceps_cristatus/original/170210851.jpg,193,702575,112069,data/images/podiceps_cristatus/cropped/170210851.jpg,POINT (702575 112069),1829.92
271,115,170210841,Podiceps cristatus,2019-07-15,7,Golfo di Ascona,46.1523,8.7664,0.0,data/images/podiceps_cristatus/original/170210841.jpg,193,702575,112069,data/images/podiceps_cristatus/cropped/170210841.jpg,POINT (702575 112069),126.24
272,116,169989141,Podiceps cristatus,2019-03-10,3,Luzern Stadt (City of Lucerne),47.0501,8.3093,4.0,data/images/podiceps_cristatus/original/169989141.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/169989141.jpg,POINT (666157 211374),1960.35
273,117,169989131,Podiceps cristatus,2019-03-10,3,Luzern Stadt (City of Lucerne),47.0501,8.3093,3.5,data/images/podiceps_cristatus/original/169989131.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/169989131.jpg,POINT (666157 211374),2214.4
274,118,169760481,Podiceps cristatus,2019-07-14,7,"Parco della Pace, Locarno, Ticino, CH",46.1593,8.8036,0.0,data/images/podiceps_cristatus/original/169760481.jpg,193,705435,112897,data/images/podiceps_cristatus/cropped/169760481.jpg,POINT (705435 112897),2721.45
275,119,169760461,Podiceps cristatus,2019-07-14,7,"Parco della Pace, Locarno, Ticino, CH",46.1593,8.8036,0.0,data/images/podiceps_cristatus/original/169760461.jpg,193,705435,112897,data/images/podiceps_cristatus/cropped/169760461.jpg,POINT (705435 112897),870.14
276,121,168903161,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903161.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903161.jpg,POINT (666157 211374),544.36
277,122,168903151,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903151.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903151.jpg,POINT (666157 211374),644.75
278,123,168903141,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903141.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903141.jpg,POINT (666157 211374),792.92
279,124,168903121,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903121.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903121.jpg,POINT (666157 211374),470.49
