index,original index,ML Catalog Number,Scientific Name,Date,Month,Locality,Latitude,Longitude,Average Community Rating,storage,altitude,LV03_E,LV03_N,crop_storage,VL
185,13,198606441,Podiceps cristatus,2018-04-23,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198606441.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198606441.jpg,1181.27
186,14,198605931,Podiceps cristatus,2018-04-25,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198605931.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198605931.jpg,890.39
187,15,198161761,Podiceps cristatus,2016-03-12,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198161761.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198161761.jpg,935.98
188,16,198161471,Podiceps cristatus,2016-03-12,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198161471.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198161471.jpg,1456.8
189,17,198031581,Podiceps cristatus,2020-01-05,1,Les Grangettes (general area),46.3913,6.8971,3.0,data/images/podiceps_cristatus/original/198031581.jpg,373,558345,137915,data/images/podiceps_cristatus/cropped/198031581.jpg,1019.91
190,18,197691411,Podiceps cristatus,2017-04-29,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197691411.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197691411.jpg,1374.45
191,19,197690411,Podiceps cristatus,2017-04-29,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197690411.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197690411.jpg,1220.33
192,20,197686491,Podiceps cristatus,2017-05-13,5,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197686491.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197686491.jpg,1496.4
193,21,197643821,Podiceps cristatus,2017-05-26,5,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197643821.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197643821.jpg,1259.16
194,22,197643081,Podiceps cristatus,2017-05-26,5,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197643081.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197643081.jpg,733.56
195,23,196086981,Podiceps cristatus,2017-03-18,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/196086981.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/196086981.jpg,728.11
196,24,196083261,Podiceps cristatus,2017-03-10,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/196083261.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/196083261.jpg,1779.6
197,25,196082031,Podiceps cristatus,2017-03-10,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/196082031.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/196082031.jpg,1363.6
198,26,195861381,Podiceps cristatus,2016-04-09,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195861381.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195861381.jpg,4092.78
199,27,195847481,Podiceps cristatus,2016-04-21,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195847481.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195847481.jpg,3368.41
200,28,195847151,Podiceps cristatus,2016-04-21,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195847151.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195847151.jpg,688.89
201,29,195825601,Podiceps cristatus,2016-04-30,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/195825601.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/195825601.jpg,1098.68
202,30,192425431,Podiceps cristatus,2019-12-08,12,Parc Mon Repos et de la Perle du Lac,46.2199,6.1521,4.0,data/images/podiceps_cristatus/original/192425431.jpg,377,500731,119533,data/images/podiceps_cristatus/cropped/192425431.jpg,1687.59
203,31,191840981,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840981.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840981.jpg,2044.96
204,32,191840961,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840961.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840961.jpg,2244.31
205,33,191840951,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840951.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840951.jpg,2092.51
206,34,191840931,Podiceps cristatus,2011-06-14,6,Luzern--Inseli Park,47.0494,8.3142,0.0,data/images/podiceps_cristatus/original/191840931.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/191840931.jpg,436.26
207,35,191656341,Podiceps cristatus,2015-01-02,1,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191656341.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191656341.jpg,1478.89
208,36,191511321,Podiceps cristatus,2016-04-02,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191511321.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191511321.jpg,855.66
209,37,191436541,Podiceps cristatus,2016-04-03,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191436541.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191436541.jpg,1139.27
210,38,191436031,Podiceps cristatus,2018-04-30,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191436031.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191436031.jpg,475.83
211,39,191427401,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427401.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427401.jpg,6695.64
212,40,191427311,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427311.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427311.jpg,1520.53
213,41,191427241,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427241.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427241.jpg,1264.97
214,42,191427091,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427091.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427091.jpg,1555.15
215,43,191427041,Podiceps cristatus,2018-05-26,5,Bolle di Magadino--Sud--Diga della Pèpa,46.1514,8.8656,0.0,data/images/podiceps_cristatus/original/191427041.jpg,193,710240,112104,data/images/podiceps_cristatus/cropped/191427041.jpg,1382.76
216,44,191418841,Podiceps cristatus,2018-06-02,6,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/191418841.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/191418841.jpg,976.82
217,48,190619191,Podiceps cristatus,2019-11-30,11,Port des Eaux-Vives et Baby-plage,46.2092,6.1624,3.0,data/images/podiceps_cristatus/original/190619191.jpg,372,501507,118330,data/images/podiceps_cristatus/cropped/190619191.jpg,1956.98
218,49,190619181,Podiceps cristatus,2019-11-30,11,Port des Eaux-Vives et Baby-plage,46.2092,6.1624,4.0,data/images/podiceps_cristatus/original/190619181.jpg,372,501507,118330,data/images/podiceps_cristatus/cropped/190619181.jpg,1267.9
219,50,187815151,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815151.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815151.jpg,4440.82
220,51,187815141,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815141.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815141.jpg,4484.66
221,52,187815131,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815131.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815131.jpg,4509.73
222,53,187815121,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815121.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815121.jpg,4795.65
223,54,187815111,Podiceps cristatus,2011-07-14,7,Lake Lauerz,47.0297,8.6052,0.0,data/images/podiceps_cristatus/original/187815111.jpg,447,688673,209399,data/images/podiceps_cristatus/cropped/187815111.jpg,4359.3
224,55,187292311,Podiceps cristatus,2019-11-09,11,Seefeldquai,47.3626,8.5468,3.0,data/images/podiceps_cristatus/original/187292311.jpg,407,683712,246341,data/images/podiceps_cristatus/cropped/187292311.jpg,1892.43
225,56,187292301,Podiceps cristatus,2019-11-09,11,Seefeldquai,47.3626,8.5468,3.0,data/images/podiceps_cristatus/original/187292301.jpg,407,683712,246341,data/images/podiceps_cristatus/cropped/187292301.jpg,2112.75
226,58,187125441,Podiceps cristatus,2019-05-04,5,Fanel--Inseln und Lagunen,46.9812,7.041,0.0,data/images/podiceps_cristatus/original/187125441.jpg,430,569747,203425,data/images/podiceps_cristatus/cropped/187125441.jpg,2204.97
227,59,186457001,Podiceps cristatus,2015-03-19,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/186457001.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/186457001.jpg,2067.66
228,60,182886241,Podiceps cristatus,2010-09-04,9,La Brevine,46.9659,6.5766,3.0,data/images/podiceps_cristatus/original/182886241.jpg,1060,534396,202009,data/images/podiceps_cristatus/cropped/182886241.jpg,883.94
229,61,181493621,Podiceps cristatus,2019-09-19,9,Arboretum Zürich,47.3628,8.5363,3.0,data/images/podiceps_cristatus/original/181493621.jpg,406,682918,246352,data/images/podiceps_cristatus/cropped/181493621.jpg,2318.9
230,62,178861681,Podiceps cristatus,2019-09-15,9,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/178861681.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/178861681.jpg,1532.46
231,63,177534031,Podiceps cristatus,2019-09-15,9,Île de Préverenges,46.5074,6.5355,0.0,data/images/podiceps_cristatus/original/177534031.jpg,372,530681,151077,data/images/podiceps_cristatus/cropped/177534031.jpg,2784.95
232,64,177534021,Podiceps cristatus,2019-09-15,9,Île de Préverenges,46.5074,6.5355,0.0,data/images/podiceps_cristatus/original/177534021.jpg,372,530681,151077,data/images/podiceps_cristatus/cropped/177534021.jpg,2321.0
233,65,177185141,Podiceps cristatus,2009-06-13,6,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177185141.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177185141.jpg,1169.94
234,66,177185111,Podiceps cristatus,2009-06-13,6,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177185111.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177185111.jpg,2883.64
235,67,177182001,Podiceps cristatus,2009-06-04,6,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177182001.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177182001.jpg,6053.58
236,69,177181331,Podiceps cristatus,2009-05-21,5,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,0.0,data/images/podiceps_cristatus/original/177181331.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177181331.jpg,3299.09
237,71,177181111,Podiceps cristatus,2009-05-21,5,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177181111.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177181111.jpg,938.35
238,72,177181101,Podiceps cristatus,2009-05-21,5,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177181101.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177181101.jpg,948.46
239,74,177179361,Podiceps cristatus,2009-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177179361.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177179361.jpg,2380.26
240,75,177179271,Podiceps cristatus,2009-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,0.0,data/images/podiceps_cristatus/original/177179271.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177179271.jpg,2803.91
241,76,177177691,Podiceps cristatus,2009-03-29,3,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177177691.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177177691.jpg,710.6
242,77,177043451,Podiceps cristatus,2019-09-14,9,"CH-Geneva-Rue de Fribourg 16 (46.2113,6.1457)",46.2282,6.1001,0.0,data/images/podiceps_cristatus/original/177043451.jpg,423,496735,120522,data/images/podiceps_cristatus/cropped/177043451.jpg,490.12
243,78,177036161,Podiceps cristatus,2019-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177036161.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177036161.jpg,1745.02
244,79,177035811,Podiceps cristatus,2019-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,3.0,data/images/podiceps_cristatus/original/177035811.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177035811.jpg,808.63
245,80,177035781,Podiceps cristatus,2019-04-19,4,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/177035781.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/177035781.jpg,8567.52
246,81,177035021,Podiceps cristatus,2019-04-16,4,Île de Préverenges,46.5074,6.5355,0.0,data/images/podiceps_cristatus/original/177035021.jpg,372,530681,151077,data/images/podiceps_cristatus/cropped/177035021.jpg,891.94
247,83,173720851,Podiceps cristatus,2019-08-19,8,Luzern--Inseli Park,47.0494,8.3142,3.0,data/images/podiceps_cristatus/original/173720851.jpg,434,666530,211301,data/images/podiceps_cristatus/cropped/173720851.jpg,2479.12
248,87,173455621,Podiceps cristatus,2019-08-13,8,Rorschach--Hafen,47.4795,9.4925,3.0,data/images/podiceps_cristatus/original/173455621.jpg,396,754797,260774,data/images/podiceps_cristatus/cropped/173455621.jpg,1428.6
249,88,173059391,Podiceps cristatus,2018-02-24,2,"Münsterbrücke, Zürich, Zürich, CH (47.37, 8.542)",47.3698,8.5422,3.0,data/images/podiceps_cristatus/original/173059391.jpg,408,683353,247137,data/images/podiceps_cristatus/cropped/173059391.jpg,2023.96
250,93,172706521,Podiceps cristatus,2019-08-08,8,Promenade Robert Hainard,46.7922,6.6425,5.0,data/images/podiceps_cristatus/original/172706521.jpg,429,539215,182646,data/images/podiceps_cristatus/cropped/172706521.jpg,632.26
251,94,172590551,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590551.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590551.jpg,1492.46
252,95,172590491,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590491.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590491.jpg,2027.21
253,96,172590331,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590331.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590331.jpg,1300.36
254,97,172590261,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590261.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590261.jpg,1868.6
255,98,172590241,Podiceps cristatus,2019-08-14,8,Ergolzmündung Augst-Kaiseraugst,47.5382,7.7138,5.0,data/images/podiceps_cristatus/original/172590241.jpg,261,620719,265311,data/images/podiceps_cristatus/cropped/172590241.jpg,2004.79
256,99,172495131,Podiceps cristatus,2019-08-14,8,Klingnauer Stausee,47.5833,8.2333,3.0,data/images/podiceps_cristatus/original/172495131.jpg,318,659782,270592,data/images/podiceps_cristatus/cropped/172495131.jpg,2182.96
257,100,171823541,Podiceps cristatus,2019-08-08,8,Porto di Locarno e Parco giochi Al Burbaglio,46.1707,8.8038,0.0,data/images/podiceps_cristatus/original/171823541.jpg,193,705429,114164,data/images/podiceps_cristatus/cropped/171823541.jpg,1125.26
258,101,171715801,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715801.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715801.jpg,599.58
259,103,171715611,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715611.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715611.jpg,1154.44
260,104,171715391,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,5.0,data/images/podiceps_cristatus/original/171715391.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715391.jpg,233.58
261,105,171715161,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715161.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715161.jpg,1426.89
262,106,171715001,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171715001.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171715001.jpg,673.67
263,107,171714991,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171714991.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171714991.jpg,2148.17
264,108,171714981,Podiceps cristatus,2019-07-25,7,Les Grangettes--Lagune des Saviez,46.3947,6.9170000000000025,4.0,data/images/podiceps_cristatus/original/171714981.jpg,372,559878,138283,data/images/podiceps_cristatus/cropped/171714981.jpg,1983.21
265,109,170976061,Podiceps cristatus,2015-10-26,10,Klingnauer Stausee,47.5833,8.2333,0.0,data/images/podiceps_cristatus/original/170976061.jpg,318,659782,270592,data/images/podiceps_cristatus/cropped/170976061.jpg,452.68
266,110,170970371,Podiceps cristatus,2015-10-24,10,Vogelraupfi,47.2271,7.7188,0.0,data/images/podiceps_cristatus/original/170970371.jpg,419,621219,230724,data/images/podiceps_cristatus/cropped/170970371.jpg,1442.39
267,111,170500711,Podiceps cristatus,2019-06-29,6,Ville de Genève (City of Geneva),46.2043,6.1429,0.0,data/images/podiceps_cristatus/original/170500711.jpg,372,499993,117810,data/images/podiceps_cristatus/cropped/170500711.jpg,1295.57
268,112,170500701,Podiceps cristatus,2019-06-29,6,Ville de Genève (City of Geneva),46.2043,6.1429,0.0,data/images/podiceps_cristatus/original/170500701.jpg,372,499993,117810,data/images/podiceps_cristatus/cropped/170500701.jpg,1462.07
269,113,170492461,Podiceps cristatus,2019-06-30,6,Port de St-Blaise,47.0104,6.9844,0.0,data/images/podiceps_cristatus/original/170492461.jpg,429,565460,206695,data/images/podiceps_cristatus/cropped/170492461.jpg,175.77
270,114,170210851,Podiceps cristatus,2019-07-15,7,Golfo di Ascona,46.1523,8.7664,0.0,data/images/podiceps_cristatus/original/170210851.jpg,193,702575,112069,data/images/podiceps_cristatus/cropped/170210851.jpg,3363.59
271,115,170210841,Podiceps cristatus,2019-07-15,7,Golfo di Ascona,46.1523,8.7664,0.0,data/images/podiceps_cristatus/original/170210841.jpg,193,702575,112069,data/images/podiceps_cristatus/cropped/170210841.jpg,316.15
272,116,169989141,Podiceps cristatus,2019-03-10,3,Luzern Stadt (City of Lucerne),47.0501,8.3093,4.0,data/images/podiceps_cristatus/original/169989141.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/169989141.jpg,3031.28
273,117,169989131,Podiceps cristatus,2019-03-10,3,Luzern Stadt (City of Lucerne),47.0501,8.3093,3.5,data/images/podiceps_cristatus/original/169989131.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/169989131.jpg,3425.37
274,118,169760481,Podiceps cristatus,2019-07-14,7,"Parco della Pace, Locarno, Ticino, CH",46.1593,8.8036,0.0,data/images/podiceps_cristatus/original/169760481.jpg,193,705435,112897,data/images/podiceps_cristatus/cropped/169760481.jpg,4231.07
275,119,169760461,Podiceps cristatus,2019-07-14,7,"Parco della Pace, Locarno, Ticino, CH",46.1593,8.8036,0.0,data/images/podiceps_cristatus/original/169760461.jpg,193,705435,112897,data/images/podiceps_cristatus/cropped/169760461.jpg,1458.81
276,121,168903161,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903161.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903161.jpg,922.65
277,122,168903151,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903151.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903151.jpg,1097.49
278,123,168903141,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903141.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903141.jpg,1275.97
279,124,168903121,Podiceps cristatus,2019-05-18,5,Luzern Stadt (City of Lucerne),47.0501,8.3093,0.0,data/images/podiceps_cristatus/original/168903121.jpg,435,666157,211374,data/images/podiceps_cristatus/cropped/168903121.jpg,819.13
280,125,168565851,Podiceps cristatus,2019-07-13,7,"Waterfront, Zurich",47.3665,8.5386,4.0,data/images/podiceps_cristatus/original/168565851.jpg,407,683086,246766,data/images/podiceps_cristatus/cropped/168565851.jpg,839.73
281,126,168565841,Podiceps cristatus,2019-07-13,7,"Waterfront, Zurich",47.3665,8.5386,3.0,data/images/podiceps_cristatus/original/168565841.jpg,407,683086,246766,data/images/podiceps_cristatus/cropped/168565841.jpg,777.53
282,127,168565831,Podiceps cristatus,2019-07-13,7,"Waterfront, Zurich",47.3665,8.5386,3.0,data/images/podiceps_cristatus/original/168565831.jpg,407,683086,246766,data/images/podiceps_cristatus/cropped/168565831.jpg,476.11
283,128,168565821,Podiceps cristatus,2019-07-13,7,"Waterfront, Zurich",47.3665,8.5386,4.0,data/images/podiceps_cristatus/original/168565821.jpg,407,683086,246766,data/images/podiceps_cristatus/cropped/168565821.jpg,474.83
284,129,168565811,Podiceps cristatus,2019-07-13,7,"Waterfront, Zurich",47.3665,8.5386,3.0,data/images/podiceps_cristatus/original/168565811.jpg,407,683086,246766,data/images/podiceps_cristatus/cropped/168565811.jpg,488.58
285,130,168540971,Podiceps cristatus,2014-04-29,4,NSG Häftli,47.1457,7.3363,0.0,data/images/podiceps_cristatus/original/168540971.jpg,427,592238,221641,data/images/podiceps_cristatus/cropped/168540971.jpg,768.62
286,132,167233671,Podiceps cristatus,2019-05-30,5,Les Grangettes (general area),46.3913,6.8971,3.0,data/images/podiceps_cristatus/original/167233671.jpg,373,558345,137915,data/images/podiceps_cristatus/cropped/167233671.jpg,1270.53
287,133,166888561,Podiceps cristatus,2019-06-28,6,"Fabrikstrasse 4, Interlaken CH-Bern (46.6814,7.8506)",46.6814,7.8506,3.0,data/images/podiceps_cristatus/original/166888561.jpg,565,631518,170102,data/images/podiceps_cristatus/cropped/166888561.jpg,3868.01
