Unnamed: 0,ML Catalog Number,Scientific Name,Date,Month,Locality,Latitude,Longitude,Average Community Rating,storage,altitude,LV03_E,LV03_N,crop_storage
48,104718101,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,3.0,data/images/aquila_chrysaetos/original/104718101.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104718101.jpg
50,104718061,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,3.0,data/images/aquila_chrysaetos/original/104718061.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104718061.jpg
51,104718051,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,3.0,data/images/aquila_chrysaetos/original/104718051.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104718051.jpg
52,104718001,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,3.0,data/images/aquila_chrysaetos/original/104718001.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104718001.jpg
54,104717971,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,3.0,data/images/aquila_chrysaetos/original/104717971.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104717971.jpg
55,104717961,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,3.0,data/images/aquila_chrysaetos/original/104717961.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104717961.jpg
58,67909871,Aquila chrysaetos,2017-09-03,9,Crêta de Vella,45.9598,7.1735,3.0,data/images/aquila_chrysaetos/original/67909871.jpg,2512,579443,89838,data/images/aquila_chrysaetos/cropped/67909871.jpg
62,67139551,Aquila chrysaetos,2011-10-03,10,Plaffeien - Gurli,46.7138,7.2833,3.0,data/images/aquila_chrysaetos/original/67139551.jpg,1378,588123,173633,data/images/aquila_chrysaetos/cropped/67139551.jpg
63,67022861,Aquila chrysaetos,2014-06-07,6,Jaun - Jansegg,46.6133,7.2535,3.0,data/images/aquila_chrysaetos/original/67022861.jpg,1400,585817,162466,data/images/aquila_chrysaetos/cropped/67022861.jpg
64,66967231,Aquila chrysaetos,2014-10-02,10,Plaffeien - Gurli,46.7138,7.2833,3.0,data/images/aquila_chrysaetos/original/66967231.jpg,1378,588123,173633,data/images/aquila_chrysaetos/cropped/66967231.jpg
65,66967221,Aquila chrysaetos,2014-10-02,10,Plaffeien - Gurli,46.7138,7.2833,3.0,data/images/aquila_chrysaetos/original/66967221.jpg,1378,588123,173633,data/images/aquila_chrysaetos/cropped/66967221.jpg
66,66966851,Aquila chrysaetos,2014-10-09,10,Plan des Eaux,46.525,7.1436,3.333333333333333,data/images/aquila_chrysaetos/original/66966851.jpg,2262,577362,152676,data/images/aquila_chrysaetos/cropped/66966851.jpg
68,66884521,Aquila chrysaetos,2015-05-14,5,Montbovon,46.4863,7.0429,5.0,data/images/aquila_chrysaetos/original/66884521.jpg,797,569613,148408,data/images/aquila_chrysaetos/cropped/66884521.jpg
69,66792631,Aquila chrysaetos,2016-03-10,3,Gemmipass,46.3976,7.6148,5.0,data/images/aquila_chrysaetos/original/66792631.jpg,2250,613548,138486,data/images/aquila_chrysaetos/cropped/66792631.jpg
74,66603781,Aquila chrysaetos,2017-08-20,8,Rochers de Naye,46.4318,6.9764,3.0,data/images/aquila_chrysaetos/original/66603781.jpg,1951,564471,142378,data/images/aquila_chrysaetos/cropped/66603781.jpg
80,53752561,Aquila chrysaetos,2017-04-08,4,Wandflue,47.2305,7.4036,4.0,data/images/aquila_chrysaetos/original/53752561.jpg,1262,597347,231065,data/images/aquila_chrysaetos/cropped/53752561.jpg
84,43377761,Aquila chrysaetos,2016-12-24,12,Wasserscheide Gurnigel (migration),46.7259,7.442,4.0,data/images/aquila_chrysaetos/original/43377761.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/43377761.jpg
86,40956061,Aquila chrysaetos,2016-10-22,10,Jaun - Jansegg,46.6133,7.2535,3.0,data/images/aquila_chrysaetos/original/40956061.jpg,1400,585817,162466,data/images/aquila_chrysaetos/cropped/40956061.jpg
87,40956051,Aquila chrysaetos,2016-10-22,10,Jaun - Jansegg,46.6133,7.2535,3.0,data/images/aquila_chrysaetos/original/40956051.jpg,1400,585817,162466,data/images/aquila_chrysaetos/cropped/40956051.jpg
88,40956031,Aquila chrysaetos,2016-10-22,10,Jaun - Jansegg,46.6133,7.2535,3.0,data/images/aquila_chrysaetos/original/40956031.jpg,1400,585817,162466,data/images/aquila_chrysaetos/cropped/40956031.jpg
90,36810511,Aquila chrysaetos,2016-10-06,10,Wasserscheide Gurnigel (migration),46.7259,7.442,4.0,data/images/aquila_chrysaetos/original/36810511.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/36810511.jpg
92,32672351,Aquila chrysaetos,2016-08-14,8,Piz Languard,46.4884,9.9564,3.5,data/images/aquila_chrysaetos/original/32672351.jpg,3169,793285,151666,data/images/aquila_chrysaetos/cropped/32672351.jpg
0,203064871,Milvus milvus,2020-01-25,1,Katzensee,47.4316,8.4959,0.0,data/images/milvus_milvus/original/203064871.jpg,439,679764,253959,data/images/milvus_milvus/cropped/203064871.jpg
1,199917321,Milvus milvus,2020-01-16,1,Chickeria Parking lot,47.3064,8.8329,0.0,data/images/milvus_milvus/original/199917321.jpg,557,705433,240438,data/images/milvus_milvus/cropped/199917321.jpg
2,199917301,Milvus milvus,2020-01-16,1,Chickeria Parking lot,47.3064,8.8329,0.0,data/images/milvus_milvus/original/199917301.jpg,557,705433,240438,data/images/milvus_milvus/cropped/199917301.jpg
3,199917291,Milvus milvus,2020-01-16,1,Chickeria Parking lot,47.3064,8.8329,0.0,data/images/milvus_milvus/original/199917291.jpg,557,705433,240438,data/images/milvus_milvus/cropped/199917291.jpg
5,198665221,Milvus milvus,2020-01-11,1,Inkwilersee,47.1987,7.6628,5.0,data/images/milvus_milvus/original/198665221.jpg,461,616987,227553,data/images/milvus_milvus/cropped/198665221.jpg
6,198665101,Milvus milvus,2020-01-11,1,Inkwilersee,47.1987,7.6628,3.0,data/images/milvus_milvus/original/198665101.jpg,461,616987,227553,data/images/milvus_milvus/cropped/198665101.jpg
7,198665081,Milvus milvus,2020-01-11,1,Inkwilersee,47.1987,7.6628,5.0,data/images/milvus_milvus/original/198665081.jpg,461,616987,227553,data/images/milvus_milvus/cropped/198665081.jpg
8,197707981,Milvus milvus,2020-01-06,1,Klingnauer Stausee,47.5833,8.2333,3.0,data/images/milvus_milvus/original/197707981.jpg,318,659782,270592,data/images/milvus_milvus/cropped/197707981.jpg
9,197707901,Milvus milvus,2020-01-06,1,Klingnauer Stausee,47.5833,8.2333,3.0,data/images/milvus_milvus/original/197707901.jpg,318,659782,270592,data/images/milvus_milvus/cropped/197707901.jpg
10,192576941,Milvus milvus,2019-12-08,12,Luzern--Wasserturm und Kapellbrücke,47.0512,8.3071,0.0,data/images/milvus_milvus/original/192576941.jpg,434,665988,211495,data/images/milvus_milvus/cropped/192576941.jpg
11,191420591,Milvus milvus,2019-11-27,11,"Grabneweg, Ersigen, Bern, CH",47.0924,7.6013,0.0,data/images/milvus_milvus/original/191420591.jpg,517,612351,215723,data/images/milvus_milvus/cropped/191420591.jpg
12,191420551,Milvus milvus,2019-11-27,11,"Grabneweg, Ersigen, Bern, CH",47.0924,7.6013,0.0,data/images/milvus_milvus/original/191420551.jpg,517,612351,215723,data/images/milvus_milvus/cropped/191420551.jpg
13,191420541,Milvus milvus,2019-11-27,11,"Grabneweg, Ersigen, Bern, CH",47.0924,7.6013,0.0,data/images/milvus_milvus/original/191420541.jpg,517,612351,215723,data/images/milvus_milvus/cropped/191420541.jpg
14,191420521,Milvus milvus,2019-11-27,11,"Grabneweg, Ersigen, Bern, CH",47.0924,7.6013,0.0,data/images/milvus_milvus/original/191420521.jpg,517,612351,215723,data/images/milvus_milvus/cropped/191420521.jpg
16,188589301,Milvus milvus,2019-11-16,11,Begnins,46.4389,6.2459,3.0,data/images/milvus_milvus/original/188589301.jpg,529,508339,143760,data/images/milvus_milvus/cropped/188589301.jpg
17,188588091,Milvus milvus,2019-11-18,11,Kloten Gemeindewald,47.4391,8.5845,0.0,data/images/milvus_milvus/original/188588091.jpg,449,686435,254887,data/images/milvus_milvus/cropped/188588091.jpg
18,188588081,Milvus milvus,2019-11-18,11,Kloten Gemeindewald,47.4391,8.5845,0.0,data/images/milvus_milvus/original/188588081.jpg,449,686435,254887,data/images/milvus_milvus/cropped/188588081.jpg
19,188588001,Milvus milvus,2019-11-18,11,Kloten Gemeindewald,47.4391,8.5845,0.0,data/images/milvus_milvus/original/188588001.jpg,449,686435,254887,data/images/milvus_milvus/cropped/188588001.jpg
20,187572441,Milvus milvus,2019-11-10,11,Walensee park,47.1255,9.3022,3.0,data/images/milvus_milvus/original/187572441.jpg,420,741392,221069,data/images/milvus_milvus/cropped/187572441.jpg
22,187125551,Milvus milvus,2019-05-04,5,Fanel--Inseln und Lagunen,46.9812,7.041,0.0,data/images/milvus_milvus/original/187125551.jpg,430,569747,203425,data/images/milvus_milvus/cropped/187125551.jpg
23,186237761,Milvus milvus,2019-10-27,10,Beringen,47.695,8.5744,0.0,data/images/milvus_milvus/original/186237761.jpg,447,685262,283326,data/images/milvus_milvus/cropped/186237761.jpg
25,182750211,Milvus milvus,2019-10-17,10,Kaltbrunner Ried,47.211999999999996,8.9845,3.0,data/images/milvus_milvus/original/182750211.jpg,408,717102,230160,data/images/milvus_milvus/cropped/182750211.jpg
26,182750191,Milvus milvus,2019-10-17,10,Kaltbrunner Ried,47.211999999999996,8.9845,4.0,data/images/milvus_milvus/original/182750191.jpg,408,717102,230160,data/images/milvus_milvus/cropped/182750191.jpg
28,182749771,Milvus milvus,2019-10-17,10,Kaltbrunner Ried,47.211999999999996,8.9845,3.5,data/images/milvus_milvus/original/182749771.jpg,408,717102,230160,data/images/milvus_milvus/cropped/182749771.jpg
30,179015281,Milvus milvus,2019-09-10,9,CH-Solothurn-Hochwald-Bürenweg 8,47.4535,7.6473,4.0,data/images/milvus_milvus/original/179015281.jpg,680,615737,255878,data/images/milvus_milvus/cropped/179015281.jpg
31,178917351,Milvus milvus,2019-09-22,9,Trottenstrass,47.3349,8.3667,4.0,data/images/milvus_milvus/original/178917351.jpg,397,670144,243085,data/images/milvus_milvus/cropped/178917351.jpg
32,178340111,Milvus milvus,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/milvus_milvus/original/178340111.jpg,1590,600257,174967,data/images/milvus_milvus/cropped/178340111.jpg
33,178340061,Milvus milvus,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/milvus_milvus/original/178340061.jpg,1590,600257,174967,data/images/milvus_milvus/cropped/178340061.jpg
34,178340051,Milvus milvus,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/milvus_milvus/original/178340051.jpg,1590,600257,174967,data/images/milvus_milvus/cropped/178340051.jpg
36,177073451,Milvus milvus,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/milvus_milvus/original/177073451.jpg,1590,600257,174967,data/images/milvus_milvus/cropped/177073451.jpg
37,177071641,Milvus milvus,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,3.0,data/images/milvus_milvus/original/177071641.jpg,1590,600257,174967,data/images/milvus_milvus/cropped/177071641.jpg
39,177070481,Milvus milvus,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,3.0,data/images/milvus_milvus/original/177070481.jpg,1590,600257,174967,data/images/milvus_milvus/cropped/177070481.jpg
40,174652811,Milvus milvus,2019-07-20,7,"Beatenberg CH-Bern (46.6931,7.7873)",46.6931,7.7873,3.0,data/images/milvus_milvus/original/174652811.jpg,1172,626670,171379,data/images/milvus_milvus/cropped/174652811.jpg
42,174553831,Milvus milvus,2019-07-19,7,"4457, Diegten CH-Basel-Landschaft (47.4081,7.8019)",47.4081,7.8019,4.0,data/images/milvus_milvus/original/174553831.jpg,547,627419,250873,data/images/milvus_milvus/cropped/174553831.jpg
43,173567961,Milvus milvus,2018-06-30,6,Stille Reuss,47.3148,8.3678,4.0,data/images/milvus_milvus/original/173567961.jpg,380,670254,240852,data/images/milvus_milvus/cropped/173567961.jpg
44,173567951,Milvus milvus,2018-06-30,6,Stille Reuss,47.3148,8.3678,3.0,data/images/milvus_milvus/original/173567951.jpg,380,670254,240852,data/images/milvus_milvus/cropped/173567951.jpg
45,173129991,Milvus milvus,2019-08-08,8,Zürich Stadt (City of Zurich),47.3769,8.5414,3.0,data/images/milvus_milvus/original/173129991.jpg,408,683281,247925,data/images/milvus_milvus/cropped/173129991.jpg
47,173129971,Milvus milvus,2019-08-08,8,Zürich Stadt (City of Zurich),47.3769,8.5414,3.0,data/images/milvus_milvus/original/173129971.jpg,408,683281,247925,data/images/milvus_milvus/cropped/173129971.jpg
48,172489151,Milvus milvus,2019-06-08,6,Interlaken,46.6836,7.8557,3.0,data/images/milvus_milvus/original/172489151.jpg,567,631907,170349,data/images/milvus_milvus/cropped/172489151.jpg
51,170285561,Milvus milvus,2019-06-29,6,"Höliweg 28, Safenwil, Aargau, CH",47.3123,7.9744,4.0,data/images/milvus_milvus/original/170285561.jpg,553,640512,240296,data/images/milvus_milvus/cropped/170285561.jpg
53,169934561,Milvus milvus,2019-07-24,7,"40 Buhnrain, Zürich, Zürich, CH (47.42, 8.542)",47.4199,8.5421,5.0,data/images/milvus_milvus/original/169934561.jpg,461,683267,252706,data/images/milvus_milvus/cropped/169934561.jpg
54,169934471,Milvus milvus,2019-07-24,7,"40 Buhnrain, Zürich, Zürich, CH (47.42, 8.542)",47.4199,8.5421,4.0,data/images/milvus_milvus/original/169934471.jpg,461,683267,252706,data/images/milvus_milvus/cropped/169934471.jpg
55,169934391,Milvus milvus,2019-07-24,7,"40 Buhnrain, Zürich, Zürich, CH (47.42, 8.542)",47.4199,8.5421,5.0,data/images/milvus_milvus/original/169934391.jpg,461,683267,252706,data/images/milvus_milvus/cropped/169934391.jpg
56,169369041,Milvus milvus,2019-07-22,7,"40 Buhnrain, Zürich, Zürich, CH (47.42, 8.542)",47.4199,8.5421,3.0,data/images/milvus_milvus/original/169369041.jpg,461,683267,252706,data/images/milvus_milvus/cropped/169369041.jpg
58,169184131,Milvus milvus,2014-09-09,9,Fraubrunnenmoos,47.101000000000006,7.5336,3.0,data/images/milvus_milvus/original/169184131.jpg,485,607210,216671,data/images/milvus_milvus/cropped/169184131.jpg
59,169178431,Milvus milvus,2014-09-06,9,Rüttihubelbad,46.9397,7.5984,3.0,data/images/milvus_milvus/original/169178431.jpg,736,612165,198747,data/images/milvus_milvus/cropped/169178431.jpg
64,165868481,Milvus milvus,2011-06-10,6,Naturschutzgebiet Weissenau,46.6735,7.8259,4.0,data/images/milvus_milvus/original/165868481.jpg,558,629633,169214,data/images/milvus_milvus/cropped/165868481.jpg
70,163286651,Milvus milvus,2019-06-08,6,"Chemin des Etourneaux, Sierre CH-Valais (46.2736,7.5065)",46.2736,7.5065,3.0,data/images/milvus_milvus/original/163286651.jpg,513,605231,124689,data/images/milvus_milvus/cropped/163286651.jpg
71,163286641,Milvus milvus,2019-06-08,6,"Chemin des Etourneaux, Sierre CH-Valais (46.2736,7.5065)",46.2736,7.5065,3.0,data/images/milvus_milvus/original/163286641.jpg,513,605231,124689,data/images/milvus_milvus/cropped/163286641.jpg
74,155095881,Milvus milvus,2019-04-20,4,Bibersee,47.2067,8.465,3.5,data/images/milvus_milvus/original/155095881.jpg,428,677759,228926,data/images/milvus_milvus/cropped/155095881.jpg
75,151418901,Milvus milvus,2017-05-16,5,Wilhofstr. Russikon CH,47.3892,8.7796,3.0,data/images/milvus_milvus/original/151418901.jpg,607,701245,249573,data/images/milvus_milvus/cropped/151418901.jpg
76,151407041,Milvus milvus,2019-04-13,4,"Knonau, Dorf",47.2248,8.4593,3.5,data/images/milvus_milvus/original/151407041.jpg,438,677301,230932,data/images/milvus_milvus/cropped/151407041.jpg
77,148439671,Milvus milvus,2018-10-03,10,Bad Zurzach,47.5819,8.288,3.0,data/images/milvus_milvus/original/148439671.jpg,386,663899,270479,data/images/milvus_milvus/cropped/148439671.jpg
79,130670661,Milvus milvus,2018-09-02,9,Neuer Teich Bach,47.5845,7.6389,3.0,data/images/milvus_milvus/original/130670661.jpg,266,615067,270442,data/images/milvus_milvus/cropped/130670661.jpg
80,130670651,Milvus milvus,2018-09-02,9,Neuer Teich Bach,47.5845,7.6389,3.5,data/images/milvus_milvus/original/130670651.jpg,266,615067,270442,data/images/milvus_milvus/cropped/130670651.jpg
82,128974351,Milvus milvus,2015-07-13,7,Schaffhausen,47.6944,8.6389,4.5,data/images/milvus_milvus/original/128974351.jpg,392,690104,283331,data/images/milvus_milvus/cropped/128974351.jpg
84,121580291,Milvus milvus,2018-10-31,10,Klingnauer Stausee,47.5833,8.2333,3.0,data/images/milvus_milvus/original/121580291.jpg,318,659782,270592,data/images/milvus_milvus/cropped/121580291.jpg
85,120748001,Milvus milvus,2018-10-27,10,Saint-Barthélemy,46.6487,6.6008,3.0,data/images/milvus_milvus/original/120748001.jpg,600,535861,166728,data/images/milvus_milvus/cropped/120748001.jpg
86,120747991,Milvus milvus,2018-10-27,10,Saint-Barthélemy,46.6487,6.6008,3.0,data/images/milvus_milvus/original/120747991.jpg,600,535861,166728,data/images/milvus_milvus/cropped/120747991.jpg
88,117146961,Milvus milvus,2016-12-06,12,"Aare, Leuggern CH-Aargau (47.5860,8.2334)",47.58600000000001,8.2334,4.5,data/images/milvus_milvus/original/117146961.jpg,318,659787,270892,data/images/milvus_milvus/cropped/117146961.jpg
90,114792831,Milvus milvus,2008-07-02,7,Zürich Stadt (City of Zurich),47.3769,8.5414,3.0,data/images/milvus_milvus/original/114792831.jpg,408,683281,247925,data/images/milvus_milvus/cropped/114792831.jpg
92,112469561,Milvus milvus,2018-08-26,8,Les Cornaches,46.8972,6.9599,3.5,data/images/milvus_milvus/original/112469561.jpg,525,563520,194122,data/images/milvus_milvus/cropped/112469561.jpg
93,112469551,Milvus milvus,2018-08-26,8,Les Cornaches,46.8972,6.9599,3.0,data/images/milvus_milvus/original/112469551.jpg,525,563520,194122,data/images/milvus_milvus/cropped/112469551.jpg
98,107179651,Milvus milvus,2018-07-03,7,"Hohematte Park, Interlaken, Switzerland",46.6735,7.8259,3.0,data/images/milvus_milvus/original/107179651.jpg,558,629633,169214,data/images/milvus_milvus/cropped/107179651.jpg
99,107179631,Milvus milvus,2018-07-03,7,"Hohematte Park, Interlaken, Switzerland",46.6735,7.8259,3.0,data/images/milvus_milvus/original/107179631.jpg,558,629633,169214,data/images/milvus_milvus/cropped/107179631.jpg
100,106847141,Milvus milvus,2018-06-24,6,Seefeldquai,47.3626,8.5468,3.0,data/images/milvus_milvus/original/106847141.jpg,407,683712,246341,data/images/milvus_milvus/cropped/106847141.jpg
102,104015321,Milvus milvus,2018-06-10,6,Neeracherried,47.5005,8.4801,4.5,data/images/milvus_milvus/original/104015321.jpg,409,678470,261603,data/images/milvus_milvus/cropped/104015321.jpg
105,93302271,Milvus milvus,2015-06-21,6,"Interlaken Ost, Aare River Park",46.6906,7.8668,3.0,data/images/milvus_milvus/original/93302271.jpg,576,632752,171132,data/images/milvus_milvus/cropped/93302271.jpg
106,89935671,Milvus milvus,2018-03-15,3,CH-Grisons-Davos Glaris-15 Chummastrasse - 46.754x9.781,46.7542,9.781,3.0,data/images/milvus_milvus/original/89935671.jpg,1528,778942,180784,data/images/milvus_milvus/cropped/89935671.jpg
114,88344471,Milvus milvus,2018-03-04,3,Founex,46.331,6.1921,3.0,data/images/milvus_milvus/original/88344471.jpg,400,504014,131832,data/images/milvus_milvus/cropped/88344471.jpg
116,88344451,Milvus milvus,2018-03-04,3,Founex,46.331,6.1921,3.0,data/images/milvus_milvus/original/88344451.jpg,400,504014,131832,data/images/milvus_milvus/cropped/88344451.jpg
117,88344431,Milvus milvus,2018-03-04,3,Founex,46.331,6.1921,3.5,data/images/milvus_milvus/original/88344431.jpg,400,504014,131832,data/images/milvus_milvus/cropped/88344431.jpg
123,71900041,Milvus milvus,2017-09-24,9,Greifensee (general area),47.3507,8.6771,4.0,data/images/milvus_milvus/original/71900041.jpg,435,693575,245166,data/images/milvus_milvus/cropped/71900041.jpg
124,71899301,Milvus milvus,2017-09-24,9,Greifensee (general area),47.3507,8.6771,3.0,data/images/milvus_milvus/original/71899301.jpg,435,693575,245166,data/images/milvus_milvus/cropped/71899301.jpg
125,71899291,Milvus milvus,2017-09-24,9,Greifensee (general area),47.3507,8.6771,3.0,data/images/milvus_milvus/original/71899291.jpg,435,693575,245166,data/images/milvus_milvus/cropped/71899291.jpg
126,71797271,Milvus milvus,2017-09-24,9,Greifensee (general area),47.3507,8.6771,4.666666666666667,data/images/milvus_milvus/original/71797271.jpg,435,693575,245166,data/images/milvus_milvus/cropped/71797271.jpg
127,71797261,Milvus milvus,2017-09-24,9,Greifensee (general area),47.3507,8.6771,4.5,data/images/milvus_milvus/original/71797261.jpg,435,693575,245166,data/images/milvus_milvus/cropped/71797261.jpg
128,71797171,Milvus milvus,2017-09-24,9,Greifensee (general area),47.3507,8.6771,3.0,data/images/milvus_milvus/original/71797171.jpg,435,693575,245166,data/images/milvus_milvus/cropped/71797171.jpg
131,71433361,Milvus milvus,2017-09-29,9,Greifensee (general area),47.3507,8.6771,3.0,data/images/milvus_milvus/original/71433361.jpg,435,693575,245166,data/images/milvus_milvus/cropped/71433361.jpg
134,70822471,Milvus milvus,2017-09-23,9,Greifensee (general area),47.3507,8.6771,3.5,data/images/milvus_milvus/original/70822471.jpg,435,693575,245166,data/images/milvus_milvus/cropped/70822471.jpg
135,70681171,Milvus milvus,2017-09-27,9,Greifensee (general area),47.3507,8.6771,3.0,data/images/milvus_milvus/original/70681171.jpg,435,693575,245166,data/images/milvus_milvus/cropped/70681171.jpg
